Format,Year,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,SR,100s,50s,Ducks,4s,6s
ODI,2025,4,4,1,179,100,59.66,212,84.43,1,1,0,16,1
ODI,2024,3,3,0,58,24,19.33,69,84.05,0,0,0,8,0
ODI,2023,27,24,5,1377,166,72.47,1389,99.13,6,8,1,122,24
ODI,2022,11,11,0,302,113,27.45,347,87.03,1,2,2,32,2
ODI,2021,3,3,0,129,66,43,149,86.57,0,2,0,10,1
ODI,2020,9,9,0,431,89,47.88,467,92.29,0,5,0,35,5
ODI,2019,26,25,2,1377,123,59.86,1429,96.36,5,7,1,133,8
ODI,2018,14,14,5,1202,160,133.55,1172,102.55,6,3,0,123,13
ODI,2017,26,26,7,1460,131,76.84,1473,99.11,6,7,2,136,22
ODI,2016,10,10,2,739,154,92.37,739,100,3,4,0,62,8
ODI,2015,20,20,3,623,138,36.64,773,80.59,2,1,0,44,8
ODI,2014,21,20,2,1054,139,58.55,1058,99.62,4,5,1,94,20
ODI,2013,34,30,6,1268,115,52.83,1300,97.53,4,7,3,137,20
ODI,2012,17,17,2,1026,183,68.4,1094,93.78,5,3,1,92,5
ODI,2011,34,34,5,1381,117,47.62,1614,85.56,4,8,2,127,7
ODI,2010,25,24,3,995,118,47.38,1169,85.11,3,7,3,90,4
ODI,2009,10,8,2,325,107,54.16,385,84.41,1,2,0,36,3
ODI,2008,5,5,0,159,54,31.8,239,66.52,0,1,0,21,1
Test,2011,5,9,0,202,63,22.44,473,42.7,0,2,2,15,2
Test,2012,9,16,2,689,116,49.21,1474,46.74,3,3,0,89,2
Test,2013,8,12,1,616,119,56,1127,54.65,2,3,0,73,2
Test,2014,10,20,1,847,169,44.57,1399,60.54,4,2,2,101,2
Test,2015,9,15,0,640,147,42.66,1184,54.05,2,2,0,74,1
Test,2016,12,18,2,1215,235,75.93,2011,60.41,4,2,0,134,2
Test,2017,10,16,2,1059,243,75.64,1389,76.24,5,1,2,97,6
Test,2018,13,24,0,1322,153,55.08,2433,54.33,5,5,2,144,2
Test,2019,8,11,2,612,254,68,967,63.28,2,2,2,78,3
Test,2020,3,6,0,116,74,19.33,283,40.98,0,1,0,15,0
Test,2021,11,19,0,536,72,28.21,1216,44.07,0,4,4,60,1
Test,2022,6,11,1,265,79,26.5,672,39.43,0,1,0,33,1
Test,2023,8,12,0,671,186,55.91,1226,54.73,2,2,0,70,1
Test,2024,10,19,2,417,100,24.52,673,61.96,1,1,1,43,5
Test,2025,1,2,0,23,17,11.5,81,28.39,0,0,0,1,0
T20I,2024,10,10,0,180,76,18,151,119.2,0,1,3,13,7
T20I,2022,20,20,6,781,122,55.78,565,138.23,1,8,1,66,26
T20I,2021,10,8,4,299,80,74.75,225,132.88,0,4,1,25,10
T20I,2020,10,9,1,295,85,36.87,208,141.82,0,1,0,18,10
T20I,2019,10,10,4,466,94,77.66,315,147.93,0,5,0,29,23
T20I,2018,10,9,2,211,61,30.14,173,121.96,0,1,1,10,8
T20I,2017,10,10,2,299,82,37.37,196,152.55,0,2,1,32,8
T20I,2016,15,13,7,641,90,106.83,457,140.26,0,7,0,70,9
T20I,2015,2,2,0,44,43,22,28,157.14,0,0,0,1,3
T20I,2014,7,7,3,385,77,96.25,288,133.68,0,5,0,33,11
T20I,2013,1,1,0,29,29,29,22,131.81,0,0,0,2,1
T20I,2012,14,13,1,471,78,39.25,355,132.67,0,4,0,57,7
T20I,2011,4,4,0,61,28,15.25,52,117.3,0,0,0,10,0
T20I,2010,2,1,1,26,26,26,21,123.8,0,0,0,3,1
Youth Tests,2008,2,3,0,85,65,28.33,3920,165,0,1,0,244,1
Youth Tests,2007,5,8,1,428,144,61.14,10454,439,2,2,1,651,3
Youth Tests,2006,5,8,0,419,123,52.37,10454,439,1,3,0,651,3
Youth ODIs,2008,11,11,3,430,100,53.75,436,98.62,1,2,0,43,9
Youth ODIs,2007,11,9,0,318,80,35.33,384,82.81,0,2,0,28,5
Youth ODIs,2006,6,5,1,230,80,57.5,323,71.2,0,2,1,22,0
